Date,Day of the week,App (Use all CAPITALS),Minutes,Category
,,,,
,,,,
8/25,Friday,TIKTOK,210,Social Media
8/25,Friday,INSTAGRAM,37,Social Media
8/25,Friday,MESSAGES,35,Social Media
8/25,Friday,CAMERA,6,Other
8/26,Saturday,TIKTOK,463,Social Media
8/26,Saturday,MESSAGES,191,Social Media
8/26,Saturday,INSTAGRAM,90,Social Media
8/26,Saturday,SPOTIFY,20,Entertainment
8/26,Saturday,CALCULATOR,14,Education
8/26,Saturday,CAMERA,5,Other
8/26,Saturday,PHOTOS,3,Other
8/26,Saturday,MAPS,2,Travel
8/27,Sunday,TIKTOK,255,Social Media
8/27,Sunday,MESSAGES,113,Social Media
8/27,Sunday,CALCULATOR,29,Education
8/27,Sunday,INSTAGRAM,20,Social Media
8/28,Monday,TIKTOK,213,Social Media
8/28,Monday,MESSAGES,114,Social Media
8/28,Monday,INSTAGRAM,30,Social Media
8/28,Monday,SPOTIFY,10,Entertainment
8/29,Tuesday,TIKTOK,135,Social Media
8/29,Tuesday,MESSAGES,87,Social Media
8/29,Tuesday,INSTAGRAM,43,Social Media
8/29,Tuesday,SPOTIFY,8,Entertainment
8/30,Wednesday,TIKTOK,194,Social Media
8/30,Wednesday,MESSAGES,94,Social Media
8/30,Wednesday,INSTAGRAM,30,Social Media
8/31,Thursday,TIKTOK,156,Social Media
8/31,Thursday,MESSAGES,99,Social Media
8/31,Thursday,INSTAGRAM,97,Social Media
8/31,Thursday,SETTINGS,22,Other